Brand,Model,Year,Price_PKR,KM_Driven,Fuel_Type,Transmission,Engine_CC,City,Body_Type,Registered_In,Assembly,Color,Owner_Type,Ad_URL
Suzuki,Alto,2019,2415000.0,82000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-karachi-11773578
Suzuki,Alto,2021,2875000.0,70300.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-karachi-11784845
Suzuki,Alto,2025,3300000.0,6200.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-karachi-11783719
Suzuki,Alto,2026,3500000.0,2000.0,Petrol,Automatic,660.0,Islamabad,Hatchback,Islamabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-islamabad-11787095
Suzuki,Alto,2007,900000.0,95000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Lahore,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-lahore-11787075
Suzuki,Alto,2022,2650000.0,91000.0,Petrol,Manual,1000.0,Islamabad,Hatchback,Punjab,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11609231
Suzuki,Alto,2022,2600000.0,41000.0,Petrol,Manual,660.0,Bhakkar,Hatchback,Punjab,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-bhakkar-11787069
Suzuki,Alto,2014,2100000.0,134000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,Black,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-karachi-11636704
Suzuki,Alto,2009,1200000.0,150000.0,CNG,Manual,1000.0,Attock,Hatchback,Islamabad,Local,Navy,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-attock-11787038
Suzuki,Alto,2019,2500000.0,96000.0,Petrol,Automatic,660.0,Mangla,Hatchback,Lahore,Local,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-mangla-11787028
Suzuki,Alto,2006,1550000.0,97000.0,Petrol,Automatic,660.0,Lahore,Hatchback,Islamabad,Imported,Silver,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-lahore-11786979
Suzuki,Alto,2024,2825000.0,52000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-lahore-11786955
Suzuki,Alto,2022,2560000.0,66000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Abbottabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11786959
Suzuki,Alto,2023,3700000.0,10072.0,Petrol,Manual,660.0,Lahore,Hatchback,Lahore,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-lahore-11786885
Suzuki,Alto,2007,1060000.0,160000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-lahore-11786874
Suzuki,Alto,2006,999000.0,175000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-lahore-11786849
Suzuki,Alto,2009,1350000.0,130000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-lahore-11786844
Suzuki,Alto,2025,2925000.0,24993.0,Petrol,Manual,660.0,Burewala,Hatchback,Punjab,Local,Grey,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-burewala-11786770
Suzuki,Alto,2022,2600000.0,62000.0,Petrol,Manual,660.0,Faisalabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-faisalabad-11786755
Suzuki,Alto,2019,3030000.0,115000.0,Petrol,Automatic,660.0,Lower Dir,Hatchback,Islamabad,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-lower-dir-11786732
Suzuki,Alto,2004,750000.0,100000.0,Petrol,Manual,1000.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2004-for-sale-in-karachi-11786745
Suzuki,Alto,2012,1040000.0,80000.0,CNG,Manual,1000.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-karachi-11786716
Suzuki,Alto,2017,2690000.0,87000.0,Petrol,Automatic,658.0,Karachi,Hatchback,Karachi,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2017-for-sale-in-karachi-11784657
Suzuki,Alto,2022,2495000.0,33900.0,Petrol,Manual,660.0,Lahore,Hatchback,Punjab,Local,Unlisted,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11784608
Suzuki,Alto,2019,2560000.0,61000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-karachi-11737266
Suzuki,Alto,2024,2775000.0,40000.0,Petrol,Manual,660.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-karachi-11685370
Suzuki,Alto,2024,3150000.0,39000.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11727374
Suzuki,Alto,2010,2180000.0,150000.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-rawalpindi-11784118
Suzuki,Alto,2024,2790000.0,25000.0,Petrol,Manual,660.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-karachi-11783545
Suzuki,Alto,2025,3250000.0,12000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-karachi-11783416
Suzuki,Alto,2025,2970000.0,11000.0,Petrol,Manual,660.0,Karachi,Hatchback,Karachi,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-karachi-11783287
Suzuki,Alto,2025,3310000.0,9000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-karachi-11783262
Suzuki,Alto,2020,2600000.0,82750.0,Petrol,Automatic,660.0,Karachi,Hatchback,Sindh,Local,Grey,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-11743748
Suzuki,Alto,2021,2450000.0,67000.0,Petrol,Manual,660.0,Multan,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-multan-11755891
Suzuki,Alto,2026,3495000.0,145.0,Petrol,Automatic,660.0,Islamabad,Hatchback,Un-Registered,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-islamabad-11786656
Suzuki,Alto,2021,2230000.0,87000.0,Petrol,Manual,660.0,Lahore,Hatchback,Punjab,Local,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-11786628
